tweet, Sentiment_label
b'Bruce Springsteen gives it to Trump like it is in New Protest Song https://t.co/M5l6WNNkXF',Positive
b'@cpeedell they probably love trump then',Positive
b'RT @SethAbramson: Trump says he thought being president would be easier. Much like Americans thought getting Congress to investigate treaso\xe2\x80\xa6',Positive
b"RT @NPR: Without tax records, Trump's claimed wealth remains unconfirmed and his financial ties and debts, obscure #Trump100\nhttps://t.co/R\xe2\x80\xa6",Neutral
b"today is day 100 of Trump's presidency, damn time flies tbh",Neutral
b"RT @LindaSuhler: Again, President Trump's rallies are funded by his own campaign funds, unlike Obama who billed taxpayers for self-promotio\xe2\x80\xa6",Positive
b'RT @FoxNews: .@AlvedaCKing: "President Trump gets an \'A\' from me." https://t.co/RH7xTKxC0K https://t.co/VyOJYPrdI2',Neutral
b'davidsirota: 2016 Trump Motto: "Make America Great Again"\n\n2020 Trump Motto: "It\'s What Plants Crave"',Positive
b'RT @GeorgeTakei: And on the 100th day, Trump still accomplished nothing, but he looked around, decided things were good, and went for a rou\xe2\x80\xa6',Positive
b"RT @MarkDice: @realDonaldTrump @marthamaccallum @FoxNews Mr. Trump, you could take the rest of your term off, and you'll still have done mo\xe2\x80\xa6",Neutral
b'RT @DolarToday: \xc2\xa1SIN RODEOS! Willie Col\xc3\xb3n pide como regalo de cumplea\xc3\xb1os firmar para que Trump sancione a Maduro -\xe2\x96\xba https://t.co/mDUrcVKl30',Neutral
b'RT @RaiseURH: US warship sails within \xe2\x80\x98striking distance\xe2\x80\x99 of North Korea as Donald Trump slams tyrant Kim Jong Un\xe2\x80\x99s failed ballis\xe2\x80\xa6 https://\xe2\x80\xa6',Neutral
b'RT @Trumptbird: Pres Trump knows how POWERFUL Twitter has become\n\nUsers have jumped to 328 MILLION since @realDonaldTrump became @POTUS \n\n#\xe2\x80\xa6',Positive
b'RT @DeanDobbs: No idea how he died, but the entire world was in intense mourning. Donald Trump was wearing a slightly bluer suit in his hon\xe2\x80\xa6',Positive
b"In Trump's White House, CEOs are shaping economic policy https://t.co/3WUwg5LpoR https://t.co/OHOvXr6KZA",Positive
b'RT @Brasilmagic: Trump will appoint Charmaine Yoest, who insists abortion causes breast cancer, to HHS leadership. \xf0\x9f\x98\xa1 https://t.co/OLHRz9KnF3',Neutral
b'Ik heb bewondering voor de kijkers die de monotone eenzijdigheid van #Nieuwsuur blijven volgen, ik heb het opgegeve\xe2\x80\xa6 https://t.co/IKgCTXxxPv',Neutral
b'RT @kylegriffin1: .@maddow reports: NBC News has learned both the Trump transition and the White House *did* perform a background check on\xe2\x80\xa6',Neutral
b'RT @theblaze: Sen. Chuck Schumer says NYC cops shouldn\xe2\x80\x99t guard Trump family if feds don\xe2\x80\x99t pay for it https://t.co/ucCSYCb3NL https://t.co/E\xe2\x80\xa6',Neutral
b'RT @bemygee: Trump che: "pensavo che fare il presidente fosse pi\xc3\xb9 facile" evoca una battaglia di neuroni pilotati da scimmie tipo terza gue\xe2\x80\xa6',Neutral
b'@HillaryClinton She is a Wall Street Whore just like Obama and Trump is the pimp!',Neutral
b'Gostei de um v\xc3\xaddeo @YouTube https://t.co/QlHXcjS7WL! - TRUMP vs. COREIA',Neutral
b"RT @TEN_GOP: Antifa thug Dane Powell pleads guilty and will face 3 yrs in prison for rioting, assaulting police during the Trump's inaugura\xe2\x80\xa6",Negative
b'RT @verge: When Trump tweets, the world holds its breath https://t.co/LDxdt1AYzz https://t.co/ZetxAVZpfM',Neutral
b"RT @FoxNews: First 100 days wages - Hourly wages after the President's first 3 months in office: Trump vs. Obama vs. Bush vs. Clinton. http\xe2\x80\xa6",Positive
b"\xe2\x9a\xa1\xef\xb8\x8f \xe2\x80\x9cPresident Trump refers to Elizabeth Warren as 'Pocahontas'\xe2\x80\x9d\n\nhttps://t.co/G7FILG5qxh",Neutral
b'RT @sarahkendzior: Want to survive another 100 days of Trump? Don\xe2\x80\x99t get complacent https://t.co/I6HkyyMuL3 &lt;-- my latest for @globeandmail',Positive
b'RT @foxnation: .@newtgingrich: @realDonaldTrump vs. The Swamp, Round III: Democrats Turn To Bureaucrats To Stop POTUS https://t.co/X15oTrem\xe2\x80\xa6',Negative
b'The audience interrupted Ivanka Trump with hissing when she began describing her... https://t.co/41Gv622AGt by #glomad67 via @c0nvey',Neutral
b"RT @Impeach_D_Trump: Trump, If you think Being President isn't easy.  You can just leave, go back to golfing. America will understand!!",Positive
b'RT @ddale8: 100 days, 213 false claims. The president is averaging two a day: https://t.co/Cx1LweOgcU',Negative
b'Did @MikeKellyPA just say that Trump has opened the doors to everyone, NOT JUST, the MUSLIM BROTHERHOOD??? Are you serious @CNN ? #HeIsTrash',Negative
b"RT @TheDailyClimate: @EPA employees targeted by @realDonaldTrump defend their role: 'We're here to protect public health' https://t.co/y0YH\xe2\x80\xa6",Neutral
b'RT @brianbeutler: Say what you will about white backlash politics but casting Trump as your racist counterpoint to Obama is such a hilariou\xe2\x80\xa6',Neutral
b'RT @IndivisibleTeam: The stakes could not be any higher for most Americans.\n\nStand with us, not with Trump. https://t.co/hepKNMXAUL',Positive
b"RT @Pappiness: Ronald Reagan missed the White House Correspondence Dinner after being shot. \n\nTrump can't even take a shot to his ego. \n\n#W\xe2\x80\xa6",Neutral
b"RT @BillKristol: What's scarier?\n1. Trump believes this to be true.\n2. Trump so believes in the power of propaganda he doesn't care it's ob\xe2\x80\xa6",Positive
b'100 days of jokes: Late-night comedy\xe2\x80\x99s best material during the Trump presidency\nhttps://t.co/Y7eM8Itp94',Positive
b'https://t.co/bDaDlxmSa3',Neutral
b'RT @SpryGuy: Hillary: Qualified, experienced, competent, knowledgeable\nTrump: Unqualified, inexperienced, incompetent, ignorant\nAnd yet her\xe2\x80\xa6',Positive
b"RT @American1765: @NCariddo @American1765_ @realDonaldTrump @LouDobbs Those saying I'm not real R the SAME people who don't believe Trump h\xe2\x80\xa6",Negative
b"@West31West @RealDonad_Trump @RealDonad_Trump doesn't do drugs.",Neutral
b'@charliekirk11 Trump takes 19 golf trips within 10 weeks.',Neutral
b"RT @IMPL0RABLE: #Resist\n\nTrump argued in court climate change was a threat to his golf course. https://t.co/bcJosvurfK\n\nIt's a 'hoax' is a\xe2\x80\xa6",Neutral
b'RT @sirjamesa12: "Loyalty Day" wasn\'t started by Trump.  It was first observed in 1921 as a red scare tactic in response to International W\xe2\x80\xa6',Positive
b"RT @chuckwoolery: The Democrats and Establishment Republicans have one thing in common. Neither want Trump to succeed &amp; that's not good for\xe2\x80\xa6",Negative
b'RT @amjoyshow: #Trump dodges White House Correspondents\xe2\x80\x99 roast https://t.co/k10GEWs9B1 #WHCD2017 #NotTheWHCD',Neutral
b'RT @amjoyshow: .@EALEXTHEGREAT: In record time #Trump turned an Obama nation into an abomination. RETWEET TO AGREE! #AMJoy #trump100days ht\xe2\x80\xa6',Neutral
b"RT @ddiamond: It's official: It's the hottest April 29 ever in DC, the same day as the #ClimateMarch \xe2\x80\x94 and Trump's 100th day. https://t.co/\xe2\x80\xa6",Neutral
b'RT @williecolon: We ask President Trump sanction the Maduro Regime and urge the world community to allow the Venezuelan opposition https://\xe2\x80\xa6',Neutral
b'RT @TheRickyDavila: Disturbing to see people criticizing Obama for earning $ as a citizen whilst trump sits in the WH earning millions from\xe2\x80\xa6',Negative
b'RT @markbreedy: @ButlerEA1 @DoofusDonny @TrueFactsStated @blacklace48 @darlene913 @RAMcCausland And Schneiderman &amp; Preet HATE Trump.\nHate h\xe2\x80\xa6',Negative
b'RT @RBReich: In his first 100 days, Trump has embarked on an orgy of cruelty. It is incumbent on all of us to stop it. Our latest video exp\xe2\x80\xa6',Positive
b'RT @FoxNews: Jobless rate after first 3 months: Trump vs. Obama vs. Bush vs. Clinton. https://t.co/EUTEseJyTj',Positive
b'I liked a @YouTube video https://t.co/O6PgFiJ9k5 Pres. Trump: Thought Job Would Be Easier | The View',Positive
b'RT @vanguardngrnews: Trump touts first 100 days despite widespread criticism - Donald Trump is celebrating his first 100 days in the... htt\xe2\x80\xa6',Positive
b'ICYMI: Ivanka Trump Has Reportedly Been Bribing Her Angry Neighbors With THIS https://t.co/OpabW3d541 https://t.co/Tf0jBPrSEw',Negative
b'RT @clg6190: Trump really needs an economic boom. So far, he\xe2\x80\x99s not getting one. https://t.co/O3PzEeAsRQ https://t.co/jSmS5Gbfjg',Positive
b'RT @Europe_Israel: "Dans tous les aspects de la vie culturelle, spirituelle, \xc3\xa9conomique, et civique, les Juifs am\xc3\xa9ricains ont \xc3\xa9t\xc3\xa9 \xc3\xa0... http\xe2\x80\xa6',Neutral
b"@johncardillo Does Ben White champion the same sentiments when folks advocate for the boycott of Ivanka Trump's clo\xe2\x80\xa6 https://t.co/4HunvKrVZU",Neutral
b'@OPBMed More marches. Trump for health.',Positive
b'RT @nypost: "After 20 months of being harangued by bullying Trump supporters, I\'m reminded that the nasty left is no different" https://t.c\xe2\x80\xa6',Negative
b'RT @blackmon: .@BuzzFeedNews These boys said they came down to the rally to protest Trump. They were also adamant about me hashtagging this\xe2\x80\xa6',Negative
b'RT @FoxNews: .@AlvedaCKing: "President Trump gets an \'A\' from me." https://t.co/RH7xTKxC0K https://t.co/VyOJYPrdI2',Neutral
b'RT @DavidYankovich: Donald Trump declares May 1 #loyaltyday ?\n\nLoyalty to treason? Russia?\nThis is what happens when you elected an interne\xe2\x80\xa6',Neutral
b'RT @Brasilmagic: Speaking Fees - each speech\n\nD. J.Trump $1.5 million\nB. Obama $400k\nH. Clinton $200-250K\nB. Clinton $200-250k\nBen Bernanke\xe2\x80\xa6',Neutral
b'RT @RJSzczerba: @realDonaldTrump Trump declared May 1st as "Loyalty Day"- seems like the perfect day to have Mike Flynn arrested.\n#saturday\xe2\x80\xa6',Positive
b'RT @tribelaw: Such perfect priorities Trump has, @GeorgeTakei. Genuinely grotesque. https://t.co/uHzS1Kb3ls',Positive
b"RT @RBReich: After 100 days, there can be no doubt. Trump is a pathological narcissist who we can't trust with decisions affecting America\xe2\x80\xa6",Neutral
b'RT @FoxNews: First 100 days GDP - Real economic growth after first 3 months: Trump vs. Obama vs. Bush vs. Clinton. https://t.co/UQPAkr5wgT',Positive
b'THR: Hillary Clinton cheers on anti-Trump climate march https://t.co/w1zBGRnttI (WASHEX)',Neutral
b'RT @bethanymac12: Craig Phillips and the Financial Crisis https://t.co/3F3qJojNtY Oh dear. Any chance for a "keep your enemies closer" type\xe2\x80\xa6',Neutral
b"RT @ClaraJeffery: I think if Trump saw this he'd have an utter meltdown. Enjoy! https://t.co/5IJgEqj0Oc",Positive
b'RT @riotwomennn: How long before Trump says it? "Nobody knew peace between Israel and the Palestinians could be so complicated" https://t.c\xe2\x80\xa6',Negative
b"RT @EdwardTHardy: Trump's 100 day scorecard\n\xe2\x9d\x8cBegin Border Wall\n\xe2\x9d\x8cDesignate China As A Currency Manipulator\n\xe2\x9d\x8cDrain The Swamp\n\xe2\x9d\x8cRepeal Obamacar\xe2\x80\xa6",Neutral
b"RT @BruceThePatriot: @LeighBryan @FWMCBigFoot @realDonaldTrump @OITNB This is exactly why Trump will get another term. The #snowflakes can'\xe2\x80\xa6",Positive
b'RT @SierraClub: The resistance to the Trump administration started on day 1 with the #WomensMarch and continues on day 100 with the #Climat\xe2\x80\xa6',Neutral
b'These six things doth the LORD hate: yea, seven are an abomination unto him:\nA proud look, a lying tongue, @POTUS\xe2\x80\xa6 https://t.co/zcjbgSS0qJ',Neutral
b'RT @GeorgeTakei: And on the 100th day, Trump still accomplished nothing, but he looked around, decided things were good, and went for a rou\xe2\x80\xa6',Positive
b'RT @realDonaldTrump: .@LouDobbs just stated that "President Trump\'s successes are unmatched in recent presidential history"  Thank you Lou!',Neutral
b"RT @JenGranholm: .@realDonaldTrump complains he's not getting credit for signing 28 bills. Here's the list of nothingburger laws:  https://\xe2\x80\xa6",Neutral
b"Thousands demand action on climate change on Trump's 100th day https://t.co/70r7RmRPXr",Positive
b'SHOCKING: McCain Renews Calls For \xe2\x80\x9cNew World Order,\xe2\x80\x9d And It\xe2\x80\x99s Bad https://t.co/tdiCtr05hO',Negative
b'RT @JayCaruso: This is the world we\xe2\x80\x99re in. People think Trump calling Warren \xe2\x80\x9cPocahontas\xe2\x80\x9d is more offensive than her faking her heritage fo\xe2\x80\xa6',Positive
b'RT @TheRebelTV: Feminist priorities: #Trump\xe2\x80\x99s locker room talk worse than real-life Saudi misogyny https://t.co/Qx3k0Je2xS | #Islam #resist\xe2\x80\xa6',Negative
b'RT @olgaNYC1211: RT if you think Trump should go to Prison for conspiring with Putin to attack America \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n#Trumprussia #100daysofshame #AMJ\xe2\x80\xa6',Neutral
b'RT @FoxBusiness: As President #Trump\xe2\x80\x8b celebrates his first #100days, here is a look back at some of the key moments during the Trump admini\xe2\x80\xa6',Positive
b"RT @williamlegate: An evolution of Trump's first \xf0\x9f\x92\xaf:\n\n\xf0\x9f\x98\x80\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x98\x90\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x99\x81\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x98\xa0\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x98\xa9\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x98\xa1\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f\n\n\xf0\x9f\x94\xbb\n\n\xf0\x9f\x98\xad\n\n\xf0\x9f\x94\xbb\n\n\xe2\x9b\xb3\xef\xb8\x8f",Positive
b'RT @TeaPainUSA: Trump declares May 1st as "Loyalty Day."  Ivana Trump and Marla Maples were unavailable for comment. #LoyaltyDay',Neutral
b'RT @nytpolitics: Under the Trump tax plan, we might all want to become corporations. https://t.co/3nBH600SgC',Neutral
b"RT @IMPL0RABLE: #TheResistance\n\nWow.\n\nTrump's regime removes climate change page from EPA website hours ahead of #climatemarch https://t.co\xe2\x80\xa6",Positive
b"Donald Trump is about to betray everyone who thought he'd stand up to Wall Street. Tell Congress to save #DoddFrank https://t.co/RW9O372Au1",Neutral
b'RT @SoccerAM: Rio, Rooney, Mourinho, de Niro and Donald Trump react to the Manchester derby with @ImpressionistAL \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #CIOTB https://t.co/U\xe2\x80\xa6',Neutral
b'@ananavarro iam sincerely not sure if Trump can tell if he is lying or not. Or if he cares.',Negative
b"therefore, you can't have an unhinged Trump person, and you can't have a dirty hippie who wants a 100% top marginal tax rate",Positive
b"RT @tgradous: Will @realDonaldTrump Exonerate Ted Cruz's Father In the Kennedy Assassination\xe2\x9d\x93\n\n#rememberWhen @POTUS \xf0\x9f\xa4\x94\n\nhttps://t.co/nR6LG9F\xe2\x80\xa6",Neutral
b'RT @ElFinancieroTv: La propuesta fiscal de Trump tendr\xc3\xada dos repercusiones importantes para M\xc3\xa9xico. El experto en comercio exterior Rafael\xe2\x80\xa6',Neutral
b'RT @goldengateblond: Jesse Watters says something inappropriate about Ivanka Trump &amp; Fox News suspends him. Her father does it &amp; they help\xe2\x80\xa6',Neutral
b'RT @TuckerCarlson: "Day without Immigrants" planned for Monday. Protester Roberto Hernandez on Trump\'s border wall: "you don\'t build walls\xe2\x80\xa6',Neutral
b'@ldealoia1 @TuckerCarlson @c0nvey @FoxNews hey #Trump supporter: never threaten me, you ugly whore..I will find you. \xf0\x9f\x94\xaa',Negative
